Ville,Température,Température ressentie,Température minimale,Température maximale,Pression atmosphérique,Humidité,Vitesse du vent,Direction du vent,Lever du soleil,Coucher du soleil,Latitude,Longitude,Température actuelle
Paris,,10.24,10.62,12.92,1025,50,7.72,60,05:24:51,18:22:48,48.8534,2.3488,11.71
Marseille,,16.64,14.53,19.26,1009,36,8.49,305,05:16:58,18:05:29,43.3333,5.5,17.86
Lyon,,6.62,7.03,8.17,1019,74,1.79,63,05:18:42,18:11:05,45.75,4.5833,7.62
Toulouse,,11.99,12.99,13.76,1019,62,6.17,310,05:32:58,18:21:56,43.6043,1.4437,13.01
Nice,,8.36,8.9,9.89,1010,58,2.72,211,05:09:27,17:58:59,44.0,7.25,9.73
Nantes,,6.23,7.81,9.83,1024,71,5.14,70,05:42:06,18:37:00,47.1667,-1.5833,8.96
Strasbourg,,4.2,6.84,8.49,1025,49,7.2,60,05:03:34,18:00:56,48.5834,7.743,7.92
Montpellier,,17.05,17.29,18.61,1012,38,6.69,20,05:23:14,18:12:11,43.6109,3.8772,18.18
Bordeaux,,12.95,14.15,16.3,1021,51,3.09,30,05:40:04,18:31:01,44.8404,-0.5805,14.15
Lille,,9.83,10.12,13.3,1027,43,5.14,50,05:20:16,18:21:42,50.633,3.0586,11.5
Rennes,,9.71,11.02,11.99,1025,58,2.06,0,05:41:32,18:38:14,48.1667,-1.6667,11.04
Reims,,9.43,10.41,11.14,1025,54,5.14,60,05:17:38,18:16:09,49.1667,4.0833,10.88
Le Havre,,9.24,10.51,10.86,1026,62,5.14,70,05:33:11,18:32:23,49.4938,0.1077,10.51
Saint-Étienne,,2.31,5.56,6.29,1018,75,4.47,359,05:19:18,18:11:08,45.4167,4.5,5.57
Toulon,,17.68,16.81,22.74,1008,55,6.69,230,05:15:24,18:03:35,43.1167,5.9333,18.35
Grenoble,,-0.91,1.98,3.95,1017,92,2.75,341,05:14:15,18:05:32,45.0833,5.8333,1.98
Dijon,,4.8,7.85,11.29,1022,76,5.66,30,05:15:37,18:10:42,47.3167,5.0167,7.98
Angers,,12.55,10.01,13.78,1023,51,5.32,51,05:37:43,18:33:07,47.4667,-0.55,13.78
Nîmes,,15.04,14.1,17.31,1013,39,9.77,350,05:20:50,18:10:16,43.9167,4.4167,16.33
Villeurbanne,,9.24,9.63,10.58,1019,73,9.26,340,05:17:29,18:09:54,45.7667,4.8833,10.25
